Index,epochs,staleness,lr,b1,b2,zdim,pos_enc_L,scheduler,num_Z_samples,gamma,step,z_scale,num_points,t_range,num_curves,one_vec,architecture,depth,width,injection_depth,injection_width
1,5000,5,5e-05,0.85,0.999,30,6,False,100,0.9,1000,100,20,"[-0.05, 0.05]",20,5,regular,4,2000,,
2,5000,5,5e-05,0.85,0.999,30,6,False,100,0.9,1000,100,20,"[-0.05, 0.05]",20,5,regular,6,2000,,
3,5000,5,5e-05,0.85,0.999,30,6,False,100,0.9,1000,100,20,"[-0.05, 0.05]",20,5,regular,4,1000,,
4,5000,5,5e-05,0.85,0.999,30,6,False,100,0.9,1000,100,20,"[-0.05, 0.05]",20,5,inject,4,2000,3,1000
5,5000,5,5e-05,0.85,0.999,30,6,False,100,0.9,1000,100,20,"[-0.05, 0.05]",20,5,inject,6,2000,3,1000
6,5000,5,5e-05,0.85,0.999,30,6,False,100,0.9,1000,100,20,"[-0.05, 0.05]",20,5,inject,4,1000,3,1000
7,5000,5,5e-05,0.85,0.999,30,6,False,100,0.9,1000,100,20,"[-0.05, 0.05]",20,5,inject,4,2000,5,1000
8,5000,5,5e-05,0.85,0.999,30,6,False,100,0.9,1000,100,20,"[-0.05, 0.05]",20,5,inject,6,2000,5,1000
9,5000,5,5e-05,0.85,0.999,30,6,False,100,0.9,1000,100,20,"[-0.05, 0.05]",20,5,inject,4,1000,5,1000
